Date,ts_polarity,twitter_volume
2017-04-11,0.0643974560623512,709
2017-04-12,0.08970620537521931,584
2017-04-13,0.02167587050390796,666
2017-04-14,0.1350055912215774,439
2017-04-15,0.09608604103431673,259
2017-04-16,0.061168029501362825,141
2017-04-17,0.12770817228406509,396
2017-04-18,0.10447953600632176,547
2017-04-19,0.09805697140208848,603
2017-04-20,0.08431343737831823,622
2017-04-21,0.12440728041346046,455
2017-04-22,0.06564157299393494,288
2017-04-23,0.08317655122655132,146
2017-04-24,0.1338077296777295,422
2017-04-25,0.13704941276419202,599
2017-04-26,0.17498938934802624,614
2017-04-27,0.0865801745592924,532
2017-04-28,0.08374166219224399,702
2017-04-29,0.18061635944700508,412
2017-04-30,0.10829046985296978,65
2017-05-01,0.20183799271556996,872
2017-05-02,0.14014290037291122,1545
2017-05-03,0.06790423135994518,3261
2017-05-04,0.07475056445183759,1183
2017-05-05,0.07964746533070954,938
2017-05-06,0.12192326332188487,486
2017-05-07,0.057449451659451374,314
2017-05-08,0.0684838137495182,1206
2017-05-09,0.07367455289609429,1258
2017-05-10,0.09233626464887364,908
2017-05-11,0.10370656792020301,694
2017-05-12,0.04969570575262333,977
2017-05-13,0.0492005845843565,488
2017-05-14,0.08401249381321832,290
2017-05-15,0.1018601248568855,628
2017-05-16,0.15500200951094356,754
2017-05-17,0.0681337942737198,975
2017-05-18,0.10886721921810917,809
2017-05-19,0.07846651362233309,599
2017-05-20,0.16307429248755767,348
2017-05-21,0.12204781946448608,246
2017-05-22,0.11780784314129095,568
2017-05-23,0.08242452190165953,790
2017-05-24,0.14267934980574326,680
2017-05-25,0.12981295726690473,642
2017-05-26,0.123411100803958,603
2017-05-27,0.14327985141424973,368
2017-05-28,0.10857790813820108,229
2017-05-29,-0.007874850071781125,245
2017-05-30,0.07645068315068324,556
2017-05-31,0.19709296218487385,183
2017-06-01,0.03879187809544973,404
2017-06-02,-0.008182264050574095,617
2017-06-03,0.10957453928607766,378
2017-06-04,0.09902783025055734,221
2017-06-05,0.05462413774138592,1189
2017-06-06,0.03609338854652533,1524
2017-06-07,0.06171915414803755,922
2017-06-08,0.0724897328200898,654
2017-06-09,0.03508502588393892,799
2017-06-10,0.05815801860298048,699
2017-06-11,0.1470709819281248,294
2017-06-12,0.04948771508698263,1230
2017-06-13,0.1086881575874395,1217
2017-06-14,0.10618828393828428,748
2017-06-15,0.1099363313909494,987
2017-06-16,0.034957701704860955,680
2017-06-17,0.043170585552862906,412
2017-06-18,0.015161373637936015,237
2017-06-19,0.1309797329018913,704
2017-06-20,0.04450427643319377,674
2017-06-21,0.14829625508527086,632
2017-06-22,0.05629977584626045,665
2017-06-23,0.1745438256785513,700
2017-06-24,0.12537056419457734,421
2017-06-25,0.26513619096952457,268
2017-06-26,0.11213813208131397,559
2017-06-27,0.13160735251268366,790
2017-06-28,0.09862972936649413,732
2017-06-29,0.1060085951532196,794
2017-06-30,-0.04945715812182727,227
2017-07-01,0.011736146650481116,201
